student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
S1750,24.0,Female,6.1,1.9,0.2,No,97.6,5.9,Poor,6.0,Bachelor,Poor,6.0,No,98.5
S1751,21.0,Female,6.8,2.9,2.0,No,80.0,5.4,Fair,0.0,High School,Average,7.0,No,96.2
S1752,18.0,Male,4.5,1.6,2.9,Yes,72.3,4.4,Good,3.0,High School,Good,4.0,Yes,71.3
S1753,18.0,Male,4.3,3.4,0.9,No,83.3,5.7,Fair,1.0,Master,Good,2.0,No,59.2
S1754,18.0,Female,0.8,3.3,0.2,No,85.7,7.1,Good,4.0,Bachelor,Poor,9.0,No,51.8
S1755,22.0,Male,2.7,4.7,1.7,Yes,67.5,5.7,Poor,2.0,Master,Good,9.0,No,59.3
S1756,unknown,Male,2.3,2.3,1.7,No,88.3,6.2,Good,4.0,Bachelor,Good,4.0,No,58.5
S1757,19.0,Female,2.6,3.3,2.4,No,74.5,7.1,Fair,0.0,Master,Good,3.0,Yes,44.5
S1758,17.0,Male,varies,2.6,2.8,No,100.0,7.1,Fair,1.0,High School,Good,10.0,Yes,75.4
S1759,unknown,Female,2.8,4.1,1.7,Yes,90.2,5.2,Fair,1.0,Bachelor,Average,6.0,Yes,54.9
S1760,20.0,Male,0.5,1.6,3.8,Yes,81.0,7.7,Good,4.0,,Average,3.0,Yes,30.2
S1761,18.0,Female,4.6,3.4,2.0,No,77.5,7.9,Good,0.0,Bachelor,Good,1.0,Yes,71.8
S1762,21.0,Male,1.9,2.3,1.4,No,84.0,5.1,Fair,4.0,High School,Poor,4.0,No,51.8
S1763,18.0,Male,3.9,2.4,0.0,Yes,91.1,5.5,Good,3.0,High School,Poor,1.0,Yes,59.5
S1764,21.0,Male,6.6,2.6,1.5,No,84.7,7.9,Fair,1.0,Master,Poor,2.0,No,96.6
S1765,19.0,Male,2.1,2.8,1.4,Yes,82.8,6.3,Poor,1.0,Master,Average,3.0,No,44.1
S1766,21.0,Male,0.0,2.4,2.9,No,85.6,3.8,Poor,3.0,,Average,8.0,No,30.5
S1767,24.0,Male,3.1,2.8,2.3,No,79.0,4.8,Poor,0.0,Bachelor,Average,10.0,No,63.7
S1768,20.0,Female,5.2,4.4,0.5,No,81.6,6.2,Fair,1.0,High School,Poor,4.0,No,74.0
S1769,17.0,Male,6.4,3.7,2.0,No,64.1,5.1,Fair,6.0,High School,Good,4.0,No,98.8
S1770,21.0,Female,1.7,3.5,2.5,No,94.7,6.0,Good,5.0,Bachelor,Good,10.0,No,53.0
S1771,21.0,Female,4.2,2.0,3.5,No,88.0,6.5,Good,5.0,High School,Average,9.0,No,84.6
S1772,17.0,Female,2.8,1.4,2.8,No,77.3,8.3,Poor,5.0,Master,Poor,7.0,No,73.0
S1773,20.0,Male,3.3,3.6,2.6,No,100.0,6.2,Fair,2.0,High School,Poor,2.0,Yes,57.1
S1774,18.0,Female,7.5,3.6,1.9,Yes,85.9,7.8,Fair,6.0,Bachelor,Average,3.0,No,100.0
S1775,21.0,Male,1.2,4.3,2.2,No,74.6,8.2,Fair,2.0,Bachelor,Average,4.0,No,36.2
