student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
S1000,23.0,Female,0.0,1.2,1.1,No,85.0,8.0,Fair,6.0,Master,Average,8.0,Yes,56.2
S1001,20.0,Female,6.9,2.8,2.3,No,97.3,4.6,Good,6.0,High School,Average,8.0,No,100.0
S1002,21.0,Male,varies,3.1,1.3,No,94.8,8.0,Poor,1.0,High School,Poor,1.0,No,34.3
S1003,23.0,Female,1.0,3.9,1.0,No,71.0,9.2,Poor,4.0,Master,Good,1.0,Yes,26.8
S1004,19.0,Female,5.0,4.4,0.5,No,90.9,4.9,Fair,3.0,Master,Good,1.0,No,66.4
S1005,24.0,Male,7.2,1.3,0.0,No,82.9,7.4,Fair,1.0,Master,Average,4.0,No,100.0
S1006,21.0,Female,5.6,1.5,1.4,Yes,85.8,6.5,Good,2.0,Master,Poor,4.0,No,89.8
S1007,21.0,Female,4.3,1.0,2.0,Yes,77.7,4.6,Fair,0.0,Bachelor,Average,8.0,No,72.6
S1008,23.0,Female,4.4,2.2,1.7,No,100.0,7.1,Good,3.0,Bachelor,Good,1.0,No,78.9
S1009,18.0,Female,4.8,3.1,1.3,No,95.4,7.5,Good,5.0,Bachelor,Good,10.0,Yes,100.0
S1010,19.0,Female,varies,3.7,0.8,No,77.6,5.8,Fair,1.0,,Good,3.0,No,63.3
S1011,23.0,Male,3.9,2.4,2.5,No,71.7,7.9,Fair,2.0,Bachelor,Average,1.0,No,74.4
S1012,19.0,Female,3.7,2.1,0.4,Yes,81.1,4.5,Fair,1.0,Bachelor,Good,9.0,No,76.9
S1013,19.0,Female,3.4,2.7,2.7,No,89.3,4.7,Fair,4.0,Bachelor,Good,10.0,No,75.8
S1014,24.0,Male,2.4,1.5,0.7,No,87.4,6.7,Poor,6.0,Bachelor,Average,9.0,No,78.9
S1015,21.0,Male,3.1,5.0,1.0,No,97.5,6.5,Good,6.0,High School,Average,7.0,No,74.0
