student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
S1250,22.0,Male,5.5,3.5,1.1,Yes,81.3,7.0,Good,2.0,High School,Average,10.0,No,100.0
S1251,17.0,Female,4.3,4.3,1.4,No,87.1,7.9,Fair,1.0,Master,Average,2.0,No,65.2
S1252,20.0,Female,4.2,1.2,4.0,No,75.8,6.5,Fair,1.0,High School,Good,10.0,No,85.3
S1253,21.0,Male,6.7,1.4,0.9,No,100.0,8.0,Fair,4.0,Bachelor,Good,2.0,No,93.8
S1254,17.0,Male,2.5,3.7,1.2,Yes,78.6,7.8,Good,6.0,Bachelor,Average,9.0,No,78.8
S1255,19.0,Female,4.9,2.8,1.6,No,84.6,5.2,Good,4.0,High School,Average,7.0,No,85.0
S1256,23.0,Female,3.6,3.2,2.7,No,90.6,5.7,Good,0.0,Bachelor,Good,6.0,No,64.5
S1257,22.0,Female,3.9,2.9,2.0,No,79.1,7.6,Fair,3.0,Master,Good,7.0,No,71.0
S1258,24.0,Female,5.8,3.0,0.4,No,66.5,3.2,Fair,2.0,High School,Average,8.0,No,90.8
S1259,19.0,Female,4.3,0.9,1.2,No,80.7,6.3,Fair,4.0,Master,Good,1.0,No,72.6
S1260,17.0,Male,4.3,3.8,1.1,No,95.3,4.8,Fair,1.0,High School,Average,8.0,No,70.9
S1261,22.0,Male,5.1,3.9,1.7,Yes,81.6,5.9,Fair,0.0,,Poor,3.0,Yes,65.1
S1262,21.0,Male,3.0,2.2,2.3,No,76.5,6.1,Poor,2.0,Master,Average,3.0,No,200.0
S1263,17.0,Female,2.2,2.4,2.3,Yes,94.3,6.1,Poor,5.0,Bachelor,Average,6.0,No,62.7
S1264,19.0,Male,1.9,0.7,0.0,No,81.7,5.8,Good,1.0,Master,Poor,4.0,No,200.0
S1265,18.0,Female,0.6,3.1,3.0,No,79.9,5.2,Good,1.0,Bachelor,Good,4.0,No,18.4
S1266,20.0,Female,6.6,3.2,2.1,No,86.5,9.3,Fair,5.0,Master,Average,4.0,Yes,200.0
,,,,,,,,,,,,,,,
S1268,23.0,Male,3.2,3.8,2.3,No,100.0,5.1,Fair,3.0,Bachelor,Poor,9.0,No,76.1
S1269,19.0,Female,3.1,2.1,3.0,No,93.3,8.4,Good,4.0,Bachelor,Average,8.0,No,85.6
S1270,22.0,Male,4.0,3.2,2.3,Yes,96.6,6.0,Good,4.0,High School,Good,3.0,Yes,63.0
S1271,24.0,Female,4.7,1.3,3.3,Yes,79.9,6.7,Good,1.0,Master,Good,1.0,No,73.6
S1272,24.0,Male,4.8,2.5,2.4,Yes,74.7,6.4,Good,6.0,High School,Good,1.0,No,76.2
,,,,,,,,,,,,,,,
S1274,17.0,Female,3.2,2.8,4.3,No,86.1,7.7,Fair,4.0,High School,Average,4.0,Yes,58.6
S1275,20.0,Male,3.9,2.1,2.8,No,74.2,6.7,Fair,5.0,Bachelor,Average,6.0,No,77.8
S1276,17.0,Male,3.1,2.3,2.4,Yes,83.2,5.9,Fair,4.0,High School,Good,4.0,Yes,61.5
S1277,22.0,Female,5.9,3.5,0.4,No,89.0,4.9,Good,1.0,,Good,3.0,No,71.4
S1278,17.0,Female,4.2,2.0,0.4,No,88.6,5.4,Fair,2.0,Master,Good,8.0,Yes,93.9
S1279,18.0,Female,4.6,0.6,2.1,No,90.0,4.5,Poor,1.0,High School,Good,8.0,No,85.9
S1280,20.0,Female,4.5,4.6,2.0,No,87.9,6.5,Fair,2.0,Bachelor,Good,6.0,No,73.8
S1281,20.0,Female,5.3,4.2,1.1,Yes,79.9,5.1,Good,2.0,High School,Average,9.0,No,83.3
S1282,22.0,Male,3.8,0.9,2.0,Yes,79.9,6.2,Fair,1.0,,Good,10.0,No,79.7
,,,,,,,,,,,,,,,200.0
S1284,18.0,Male,4.1,1.9,2.6,No,100.0,7.9,Fair,6.0,Bachelor,Good,8.0,No,91.9
S1285,19.0,Female,2.5,2.8,0.5,Yes,85.1,6.5,Poor,0.0,,Poor,6.0,Yes,60.6
S1286,17.0,Female,2.7,2.9,1.7,No,82.8,6.4,Fair,4.0,Master,Average,1.0,No,46.6
S1287,21.0,Male,4.4,2.2,0.9,No,75.7,8.8,Good,6.0,High School,Poor,4.0,Yes,84.2
S1288,unknown,Male,5.4,1.6,1.4,No,100.0,7.1,Fair,3.0,High School,Average,5.0,No,95.5
S1289,24.0,Female,3.5,1.7,1.3,No,74.3,6.1,Good,1.0,High School,Good,7.0,Yes,73.5
S1290,17.0,Male,4.0,1.4,1.3,No,80.7,4.8,Fair,2.0,,Poor,8.0,No,75.9
S1291,19.0,Female,6.1,1.5,0.4,No,89.2,7.0,Poor,1.0,Bachelor,Average,9.0,No,100.0
S1292,17.0,Female,3.9,2.4,1.7,Yes,91.0,7.5,Good,4.0,Master,Average,6.0,Yes,74.2
S1293,18.0,Female,7.4,1.6,1.2,No,94.6,5.7,Fair,5.0,Bachelor,Good,10.0,Yes,100.0
S1294,18.0,Male,4.3,3.3,0.0,No,100.0,6.8,Fair,6.0,High School,Average,9.0,No,94.9
S1295,unknown,Female,0.9,4.3,4.1,No,90.1,6.1,Good,6.0,High School,Average,4.0,No,27.6
S1296,22.0,Female,4.6,1.8,3.0,No,74.4,6.3,Fair,6.0,High School,Average,8.0,No,86.2
S1297,23.0,Female,4.1,2.8,1.4,No,82.4,3.5,Good,2.0,Master,Average,3.0,No,200.0
S1298,21.0,Female,5.4,3.1,1.8,No,88.1,6.2,Poor,3.0,High School,Average,4.0,Yes,91.3
S1299,24.0,Female,4.5,3.1,0.5,No,100.0,7.7,Fair,3.0,Bachelor,Average,10.0,No,200.0
S1300,17.0,Female,3.3,2.6,3.7,No,71.0,5.7,Poor,6.0,High School,Good,4.0,Yes,61.6
S1301,17.0,Male,1.7,3.4,3.9,Yes,97.0,6.6,Good,3.0,High School,Average,6.0,No,41.7
S1302,19.0,Female,3.2,3.1,2.0,No,86.8,5.6,Fair,5.0,High School,Poor,9.0,No,74.5
,,,,,,,,,,,,,,,
S1304,18.0,Male,2.6,3.5,2.0,No,84.0,6.2,Good,0.0,Bachelor,Average,1.0,No,39.6
S1305,21.0,Female,4.4,3.6,0.3,No,76.6,5.4,Fair,2.0,High School,Good,5.0,Yes,87.5
S1306,20.0,Female,6.0,1.6,1.3,No,92.5,8.1,Fair,5.0,Bachelor,Average,9.0,No,100.0
S1307,18.0,Female,4.1,2.5,1.9,Yes,91.5,7.6,Fair,2.0,,Good,5.0,No,75.4
S1308,24.0,Male,1.7,3.3,1.3,No,94.7,5.8,Fair,6.0,Master,Good,6.0,Yes,61.5
S1309,22.0,Male,4.2,2.2,1.6,No,84.9,7.1,Fair,5.0,High School,Good,3.0,Yes,73.3
S1310,24.0,Other,5.3,3.8,1.7,No,79.0,7.1,Good,6.0,Master,Average,8.0,No,96.3
S1311,23.0,Female,2.6,5.3,1.7,Yes,69.4,7.3,Good,5.0,Bachelor,Average,10.0,No,67.0
S1312,unknown,Male,3.3,1.6,1.9,No,93.2,4.5,Good,6.0,Master,Average,4.0,No,70.1
S1313,23.0,Female,3.5,0.8,0.6,No,89.2,7.7,Good,0.0,High School,Good,4.0,No,84.2
S1314,unknown,Female,2.3,2.9,1.0,No,75.3,5.8,Good,2.0,Bachelor,Good,5.0,Yes,48.9
S1315,24.0,Female,4.5,3.4,0.4,No,79.6,6.1,Fair,5.0,High School,Poor,10.0,No,98.8
S1316,19.0,Female,3.3,2.2,2.9,Yes,80.3,9.7,Good,0.0,High School,Poor,9.0,No,76.1
S1317,17.0,Male,4.1,4.2,0.0,No,70.2,6.9,Good,1.0,High School,Average,8.0,Yes,80.4
S1318,23.0,Male,2.2,0.9,3.1,No,76.8,6.0,Fair,6.0,High School,Poor,7.0,No,64.1
S1319,22.0,Male,2.8,3.3,3.3,No,73.7,3.9,Good,4.0,Master,Average,5.0,Yes,59.4
S1320,24.0,Female,4.6,1.8,1.5,No,80.9,8.2,Fair,5.0,,Poor,9.0,Yes,94.2
S1321,21.0,Male,2.9,4.6,0.0,Yes,77.6,4.9,Good,3.0,Bachelor,Good,9.0,Yes,67.8
S1322,20.0,Male,6.1,4.9,1.4,No,68.7,5.3,Good,0.0,Bachelor,Good,10.0,No,96.1
S1323,18.0,Male,varies,1.6,1.7,No,100.0,6.1,Good,0.0,Bachelor,Good,10.0,No,70.2
S1324,22.0,Female,3.8,1.8,0.7,No,97.5,8.2,Fair,5.0,Bachelor,Average,2.0,No,84.2
S1325,22.0,Female,4.9,3.5,1.2,No,77.2,7.4,Good,0.0,High School,Good,4.0,No,200.0
S1326,19.0,Male,1.4,2.0,3.5,No,87.7,6.3,Fair,1.0,Bachelor,Good,8.0,No,41.7
,,,,,,,,,,,,,,,
S1328,24.0,Female,1.2,2.5,0.8,Yes,96.9,5.8,Good,4.0,Master,Good,5.0,No,50.3
S1329,24.0,Male,5.4,0.2,0.0,No,76.8,6.7,Fair,4.0,Bachelor,Average,8.0,No,100.0
S1330,17.0,Male,2.7,2.5,1.4,No,95.9,6.6,Good,6.0,Master,Average,2.0,No,52.2
S1331,17.0,Male,7.3,1.7,1.6,No,79.5,7.7,Fair,6.0,,Average,2.0,Yes,100.0
S1332,20.0,Male,2.7,1.9,2.3,No,71.6,7.7,Fair,3.0,High School,Poor,8.0,No,71.2
S1333,19.0,Male,3.8,4.2,1.2,No,92.2,7.1,Good,1.0,High School,Good,10.0,No,72.3
S1334,22.0,Female,5.8,1.0,2.4,No,97.9,6.1,Fair,4.0,,Average,9.0,No,100.0
S1335,24.0,Male,6.5,3.5,3.9,No,100.0,7.4,Poor,5.0,High School,Average,7.0,Yes,100.0
S1336,21.0,Female,6.6,2.2,2.7,No,73.0,6.4,Good,2.0,Bachelor,Poor,8.0,Yes,100.0
,,,,,,,,,,,,,,,
S1338,20.0,Female,5.0,3.4,1.6,Yes,80.9,6.0,Good,2.0,Bachelor,Average,1.0,Yes,67.7
S1339,20.0,Female,4.4,2.9,1.4,No,92.8,6.6,Fair,6.0,Master,Good,4.0,Yes,77.9
S1340,19.0,Male,4.7,3.2,3.1,Yes,70.3,7.6,Fair,5.0,Bachelor,Good,2.0,No,80.3
S1341,20.0,Female,2.7,3.7,1.1,No,72.4,6.3,Fair,0.0,High School,Average,3.0,No,44.3
S1342,19.0,Male,2.3,2.1,1.8,No,77.2,5.0,Fair,5.0,High School,Average,3.0,No,54.7
S1343,18.0,Other,3.5,1.8,1.9,No,85.8,6.6,Fair,0.0,High School,Good,9.0,No,85.0
S1344,19.0,Male,3.2,1.2,1.2,No,78.6,6.6,Fair,2.0,High School,Poor,10.0,Yes,81.7
S1345,23.0,Male,2.8,1.5,0.3,No,91.6,6.7,Fair,3.0,Bachelor,Poor,4.0,No,71.6
S1346,19.0,Male,4.5,6.0,2.2,Yes,95.3,7.6,Poor,3.0,High School,Good,2.0,Yes,73.7
,unknown,,,,,,,,,,,,,,
S1348,24.0,Female,3.6,0.9,2.4,No,100.0,5.8,Poor,2.0,Bachelor,Average,3.0,No,72.3
S1349,23.0,Female,5.7,0.9,1.2,No,89.2,5.8,Poor,5.0,Bachelor,Average,7.0,No,100.0
S1350,20.0,Male,1.8,3.1,3.1,No,72.8,5.3,Good,3.0,High School,Average,8.0,No,54.0
S1351,17.0,Female,3.2,3.2,0.8,No,98.6,7.3,Good,0.0,High School,Good,6.0,No,70.4
S1352,17.0,Male,2.4,3.2,3.7,No,78.9,8.2,Good,5.0,Bachelor,Good,4.0,Yes,47.0
S1353,unknown,Female,0.7,2.2,0.0,No,94.1,6.1,Fair,2.0,High School,Good,6.0,No,48.7
S1354,24.0,Male,3.4,2.3,2.3,No,100.0,6.2,Good,1.0,High School,Good,1.0,No,47.6
S1355,23.0,Male,3.3,2.9,2.3,Yes,89.6,8.3,Good,2.0,High School,Average,10.0,No,81.1
S1356,18.0,Male,5.8,2.6,0.9,Yes,70.0,7.1,Good,6.0,High School,Average,8.0,No,100.0
S1357,24.0,Male,4.4,0.0,2.3,No,75.8,7.0,Fair,2.0,Bachelor,Average,1.0,No,81.9
S1358,17.0,Female,2.0,2.2,3.2,No,98.2,5.1,Good,5.0,High School,Average,5.0,No,56.3
S1359,19.0,Male,6.3,1.5,0.0,No,83.3,7.3,Good,5.0,Bachelor,Good,2.0,Yes,100.0
S1360,20.0,Female,5.3,2.7,2.4,Yes,85.8,5.4,Good,4.0,High School,Good,6.0,No,81.0
S1361,17.0,Male,4.4,6.1,0.0,No,92.6,5.1,Poor,4.0,Bachelor,Average,9.0,Yes,84.9
,,,,,,,,,,,,,,,
S1363,18.0,Male,2.1,2.1,3.6,No,87.8,5.8,Fair,5.0,Master,Poor,4.0,No,56.9
S1364,23.0,Male,2.9,3.6,1.2,No,82.9,6.2,Fair,1.0,High School,Average,2.0,No,45.9
S1365,23.0,Female,5.1,3.1,0.5,Yes,81.9,4.8,Good,1.0,,Poor,3.0,No,76.0
